ea1,ea2
56,168
56,529
56,591
56,121
56,139
56,275
56,339
56,73
56,452
56,209
56,334
253,529
253,591
253,121
253,139
253,275
253,339
253,73
253,452
253,209
253,334
253,463
253,36
253,163
253,505
253,201
253,91
253,183
153,510
153,85
153,190
153,148
153,357
153,37
153,10
153,135
153,105
153,23
153,413
153,168
153,529
153,591
153,121
153,139
153,275
153,339
153,73
153,452
153,209
153,334
83,529
83,591
83,121
83,139
83,275
83,339
83,73
83,452
83,209
83,334
73,510
73,85
73,190
73,148
73,357
73,37
73,10
73,135
73,105
73,23
73,413
73,168
73,178
73,112
73,175
73,419
73,435
73,385
73,270
73,378
73,61
73,599
73,56
73,253
73,153
73,83
73,160
73,518
73,464
73,46
73,207
160,529
160,591
160,121
160,139
160,275
160,339
160,73
160,452
160,209
160,334
452,178
452,112
452,175
452,419
452,435
452,385
452,270
452,378
452,61
452,599
452,56
452,253
452,153
452,83
452,160
452,518
452,464
452,46
452,207
518,529
518,591
518,121
518,139
518,275
518,339
518,73
518,452
518,209
518,334
464,529
464,591
464,121
464,139
464,275
464,339
464,73
464,452
464,209
464,334
334,178
334,112
334,175
334,419
334,435
334,385
334,270
334,378
334,61
334,599
334,56
334,253
334,153
334,83
334,160
334,518
334,464
334,46
334,207
62,510
62,85
62,190
62,148
62,357
62,37
62,10
62,135
62,105
62,23
62,413
62,168
169,510
169,85
169,190
169,148
169,357
169,37
169,10
169,135
169,105
169,23
169,413
169,168
118,510
118,85
118,190
118,148
118,357
118,37
118,10
118,135
118,105
118,23
118,413
118,168
413,272
413,277
413,435
413,4
413,246
413,33
413,579
413,66
413,113
413,541
413,462
413,236
413,562
413,177
413,389
413,156
413,182
413,217
413,458
413,320
413,516
413,327
413,401
413,378
413,170
413,428
413,0
413,29
413,46
413,500
413,62
413,41
413,73
413,56
413,169
413,118
413,203
413,592
413,3
413,207
413,568
413,6
413,460
413,153
3,510
3,85
3,190
3,148
3,357
3,37
3,10
3,135
3,105
3,23
3,413
3,168
568,510
568,85
568,190
568,148
568,357
568,37
568,10
568,135
568,105
568,23
568,413
568,168
6,510
6,85
6,190
6,148
6,357
6,37
6,10
6,135
6,105
6,23
6,413
6,168
460,510
460,85
460,190
460,148
460,357
460,37
460,10
460,135
460,105
460,23
460,413
460,168
168,272
168,277
168,435
168,4
168,246
168,33
168,579
168,66
168,113
168,541
168,462
168,236
168,562
168,177
168,389
168,156
168,182
168,217
168,458
168,320
168,516
168,327
168,401
168,378
168,170
168,428
168,0
168,29
168,46
168,500
168,62
